submission,TP_1,FP_1,FN_1,TN_1,AUC_1,TP_2,FP_2,FN_2,TN_2,AUC_2,TP_3,FP_3,FN_3,TN_3,AUC_3,TP_4,FP_4,FN_4,TN_4,AUC_4,TP_5,FP_5,FN_5,TN_5,AUC_5
mk_original-overall,34,13,24,44,0.6790683605565638,37,15,21,42,0.6873865698729583,34,14,24,43,0.6702964307320025,28,11,30,46,0.6448880822746522,36,19,22,38,0.6436781609195402
mk_original-male,20,9,14,23,0.6534926470588236,22,11,12,21,0.6516544117647058,19,9,15,23,0.6387867647058824,17,7,17,25,0.640625,19,12,15,20,0.5919117647058824
mk_original-female,14,4,10,21,0.7116666666666667,15,4,9,21,0.7325,15,5,9,20,0.7125,11,4,13,21,0.6491666666666666,17,7,7,18,0.7141666666666666
nguigui_original-overall,35,16,23,41,0.661373260738052,38,18,20,39,0.6696914700544464,40,19,18,38,0.67816091954023,38,18,20,39,0.6696914700544464,41,16,17,41,0.7130973986690865
nguigui_original-male,24,11,10,21,0.6810661764705883,23,12,11,20,0.6507352941176471,23,12,11,20,0.6507352941176471,23,11,11,21,0.666360294117647,25,11,9,21,0.6957720588235294
nguigui_original-female,11,5,13,20,0.6291666666666667,15,6,9,19,0.6925,17,7,7,18,0.7141666666666666,15,7,9,18,0.6725,16,5,8,20,0.7333333333333333
Slasnista_original-overall,35,13,23,44,0.6876890502117362,38,16,20,41,0.6872353297035693,41,15,17,42,0.7218693284936479,40,15,18,42,0.7132486388384756,36,16,22,41,0.6699939503932244
Slasnista_original-male,24,11,10,21,0.6810661764705883,24,11,10,21,0.6810661764705883,23,10,11,22,0.6819852941176471,25,12,9,20,0.6801470588235294,23,12,11,20,0.6507352941176471
Slasnista_original-female,11,2,13,23,0.6891666666666666,14,5,10,20,0.6916666666666668,18,5,6,20,0.7750000000000001,15,3,9,22,0.7525,13,4,11,21,0.6908333333333333
vzantedeschi_original-overall,23,10,35,47,0.6105565638233514,25,11,33,46,0.619026013309135,26,14,32,43,0.6013309134906231,24,8,34,49,0.6367211131276467,25,7,33,50,0.6541137326073806
vzantedeschi_original-male,12,8,22,24,0.551470588235294,16,8,18,24,0.6102941176470589,15,10,19,22,0.5643382352941176,13,7,21,25,0.5818014705882353,14,5,20,27,0.6277573529411764
vzantedeschi_original-female,11,2,13,23,0.6891666666666666,9,3,15,22,0.6275,11,4,13,21,0.6491666666666666,11,1,13,24,0.7091666666666666,11,2,13,23,0.6891666666666666
wwwwmmmm_original-overall,42,26,16,31,0.6339987900786449,42,20,16,37,0.6866303690260133,47,31,11,26,0.6332425892317,40,23,18,34,0.6430732002419843,43,28,15,29,0.6250756200846945
wwwwmmmm_original-male,27,17,7,15,0.6314338235294117,24,13,10,19,0.6498161764705883,26,17,8,15,0.6167279411764706,25,15,9,17,0.6332720588235294,26,17,8,15,0.6167279411764706
wwwwmmmm_original-female,15,9,9,16,0.6325000000000001,18,7,6,18,0.735,21,14,3,11,0.6575,15,8,9,17,0.6525,17,11,7,14,0.6341666666666668
