submission,TP_1,FP_1,FN_1,TN_1,AUC_1,TP_2,FP_2,FN_2,TN_2,AUC_2,TP_3,FP_3,FN_3,TN_3,AUC_3,TP_4,FP_4,FN_4,TN_4,AUC_4,TP_5,FP_5,FN_5,TN_5,AUC_5
pearrr_original-overall,33,16,25,41,0.6441318814277073,35,10,23,47,0.7140048396854204,30,13,28,44,0.6445856019358741,35,16,23,41,0.661373260738052,32,14,26,43,0.6530550514216575
pearrr_original-male,22,12,12,20,0.6360294117647058,23,7,11,25,0.7288602941176471,19,10,15,22,0.6231617647058824,23,11,11,21,0.666360294117647,21,9,13,23,0.6681985294117647
pearrr_original-female,11,4,13,21,0.6491666666666666,12,3,12,22,0.6900000000000001,11,3,13,22,0.6691666666666666,12,5,12,20,0.6500000000000001,11,5,13,20,0.6291666666666667
abethe_original-overall,33,15,25,42,0.6529038112522687,35,14,23,43,0.6789171203871749,36,18,22,39,0.6524500907441015,28,14,30,43,0.618572292800968,40,18,18,39,0.6869328493647914
abethe_original-male,21,13,13,19,0.6056985294117647,26,11,8,21,0.7104779411764706,22,12,12,20,0.6360294117647058,16,10,18,22,0.5790441176470589,24,12,10,20,0.6654411764705883
abethe_original-female,12,2,12,23,0.7100000000000001,9,3,15,22,0.6275,14,6,10,19,0.6716666666666666,12,4,12,21,0.67,16,6,8,19,0.7133333333333333
amicie_original-overall,34,11,24,46,0.6966122202056867,34,16,24,41,0.6527525710828797,32,16,26,41,0.6355111917725348,38,19,20,38,0.6609195402298852,38,17,20,40,0.6784633998790077
amicie_original-male,22,7,12,25,0.7141544117647058,25,13,9,19,0.6645220588235294,19,10,15,22,0.6231617647058824,23,11,11,21,0.666360294117647,21,12,13,20,0.6213235294117647
amicie_original-female,12,4,12,21,0.67,9,3,15,22,0.6275,13,6,11,19,0.6508333333333333,15,8,9,17,0.6525,17,5,7,20,0.7541666666666668
ayoub_ghriss_original-overall,38,21,20,36,0.6433756805807622,39,15,19,42,0.7046279491833032,34,14,24,43,0.6702964307320025,40,19,18,38,0.67816091954023,37,14,21,43,0.6961584996975196
ayoub_ghriss_original-male,24,16,10,16,0.6029411764705883,22,10,12,22,0.6672794117647058,19,9,15,23,0.6387867647058824,23,11,11,21,0.666360294117647,22,9,12,23,0.6829044117647058
ayoub_ghriss_original-female,14,5,10,20,0.6916666666666668,17,5,7,20,0.7541666666666668,15,5,9,20,0.7125,17,8,7,17,0.6941666666666666,15,5,9,20,0.7125
lbg_original-overall,36,19,22,38,0.6436781609195402,34,17,24,40,0.6439806412583182,41,16,17,41,0.7130973986690865,35,16,23,41,0.661373260738052,34,18,24,39,0.6352087114337568
lbg_original-male,23,12,11,20,0.6507352941176471,21,13,13,19,0.6056985294117647,24,11,10,21,0.6810661764705883,20,11,14,21,0.6222426470588236,20,13,14,19,0.5909926470588236
lbg_original-female,13,7,11,18,0.6308333333333332,13,4,11,21,0.6908333333333333,17,5,7,20,0.7541666666666668,15,5,9,20,0.7125,14,5,10,20,0.6916666666666668
