submission,TP_1,FP_1,FN_1,TN_1,AUC_1,TP_2,FP_2,FN_2,TN_2,AUC_2,TP_3,FP_3,FN_3,TN_3,AUC_3,TP_4,FP_4,FN_4,TN_4,AUC_4,TP_5,FP_5,FN_5,TN_5,AUC_5
pearrr_original-overall,27,9,31,48,0.6538112522686024,30,14,28,43,0.6358136721113128,30,9,28,48,0.6796733212341197,29,11,29,46,0.6535087719298247,31,10,27,47,0.6795220810647308
pearrr_original-male,18,5,16,27,0.6865808823529411,19,10,15,22,0.6231617647058824,21,8,13,24,0.6838235294117647,21,8,13,24,0.6838235294117647,21,6,13,26,0.7150735294117647
pearrr_original-female,9,4,15,21,0.6075,11,4,13,21,0.6491666666666666,9,1,15,24,0.6674999999999999,8,3,16,22,0.6066666666666667,10,4,14,21,0.6283333333333333
abethe_original-overall,32,13,26,44,0.661826981246219,36,17,22,40,0.661222020568663,29,16,29,41,0.6096491228070176,34,13,24,44,0.6790683605565638,36,19,22,38,0.6436781609195402
abethe_original-male,20,10,14,22,0.6378676470588236,25,11,9,21,0.6957720588235294,20,10,14,22,0.6378676470588236,21,9,13,23,0.6681985294117647,27,13,7,19,0.6939338235294117
abethe_original-female,12,3,12,22,0.6900000000000001,11,6,13,19,0.6091666666666666,9,6,15,19,0.5675,13,4,11,21,0.6908333333333333,9,6,15,19,0.5675
amicie_original-overall,32,11,26,46,0.6793708408953418,31,24,27,33,0.5567150635208711,32,18,26,39,0.617967332123412,37,15,21,42,0.6873865698729583,33,18,25,39,0.6265880217785844
amicie_original-male,20,8,14,24,0.6691176470588236,19,15,15,17,0.5450367647058824,23,13,11,19,0.6351102941176471,24,11,10,21,0.6810661764705883,24,13,10,19,0.6498161764705883
amicie_original-female,12,3,12,22,0.6900000000000001,12,9,12,16,0.57,9,5,15,20,0.5875,13,4,11,21,0.6908333333333333,9,5,15,20,0.5875
ayoub_ghriss_original-overall,32,11,26,46,0.6793708408953418,34,14,24,43,0.6702964307320025,35,12,23,45,0.6964609800362976,32,13,26,44,0.661826981246219,34,13,24,44,0.6790683605565638
ayoub_ghriss_original-male,23,8,11,24,0.7132352941176471,22,11,12,21,0.6516544117647058,24,9,10,23,0.7123161764705883,23,10,11,22,0.6819852941176471,25,10,9,22,0.7113970588235294
ayoub_ghriss_original-female,9,3,15,22,0.6275,12,3,12,22,0.6900000000000001,11,3,13,22,0.6691666666666666,9,3,15,22,0.6275,9,3,15,22,0.6275
lbg_original-overall,39,14,19,43,0.7133998790078646,41,17,17,40,0.704325468844525,35,11,23,46,0.7052329098608592,46,14,12,43,0.7737447065940715,39,18,19,39,0.6783121597096189
lbg_original-male,25,10,9,22,0.7113970588235294,26,12,8,20,0.6948529411764706,23,9,11,23,0.6976102941176471,29,10,5,22,0.7702205882352942,25,14,9,18,0.6488970588235294
lbg_original-female,14,4,10,21,0.7116666666666667,15,5,9,20,0.7125,12,2,12,23,0.7100000000000001,17,4,7,21,0.7741666666666667,14,4,10,21,0.7116666666666667
mk_original-overall,39,16,19,41,0.6958560193587418,30,16,28,41,0.61826981246219,37,17,21,40,0.6698427102238355,38,20,20,37,0.6521476104053237,32,15,26,42,0.6442831215970963
mk_original-male,26,12,8,20,0.6948529411764706,20,11,14,21,0.6222426470588236,25,10,9,22,0.7113970588235294,24,12,10,20,0.6654411764705883,22,9,12,23,0.6829044117647058
mk_original-female,13,4,11,21,0.6908333333333333,10,5,14,20,0.6083333333333334,12,7,12,18,0.6100000000000001,14,8,10,17,0.6316666666666667,10,6,14,19,0.5883333333333334
nguigui_original-overall,32,17,26,40,0.6267392619479734,34,19,24,38,0.6264367816091956,35,12,23,45,0.6964609800362976,37,19,21,38,0.6522988505747127,33,14,25,43,0.66167574107683
nguigui_original-male,20,11,14,21,0.6222426470588236,23,14,11,18,0.6194852941176471,23,7,11,25,0.7288602941176471,24,13,10,19,0.6498161764705883,22,12,12,20,0.6360294117647058
nguigui_original-female,12,6,12,19,0.6300000000000001,11,5,13,20,0.6291666666666667,12,5,12,20,0.6500000000000001,13,6,11,19,0.6508333333333333,11,2,13,23,0.6891666666666666
Slasnista_original-overall,35,12,23,45,0.6964609800362976,32,17,26,40,0.6267392619479734,32,11,26,46,0.6793708408953418,34,12,24,45,0.6878402903811253,33,11,25,46,0.6879915305505143
Slasnista_original-male,21,8,13,24,0.6838235294117647,20,12,14,20,0.6066176470588236,20,8,14,24,0.6691176470588236,21,9,13,23,0.6681985294117647,22,8,12,24,0.698529411764706
Slasnista_original-female,14,4,10,21,0.7116666666666667,12,5,12,20,0.6500000000000001,12,3,12,22,0.6900000000000001,13,3,11,22,0.7108333333333332,11,3,13,22,0.6691666666666666
vzantedeschi_original-overall,22,8,36,49,0.6194797338173019,26,9,32,48,0.6451905626134301,26,5,32,52,0.6802782819116757,24,6,34,51,0.6542649727767695,26,9,32,48,0.6451905626134301
vzantedeschi_original-male,15,6,19,26,0.6268382352941176,17,8,17,24,0.625,18,4,16,28,0.7022058823529411,15,5,19,27,0.6424632352941176,16,7,18,25,0.6259191176470589
vzantedeschi_original-female,7,2,17,23,0.6058333333333334,9,1,15,24,0.6674999999999999,8,1,16,24,0.6466666666666666,9,1,15,24,0.6674999999999999,10,2,14,23,0.6683333333333334
wwwwmmmm_original-overall,31,19,27,38,0.6005747126436781,40,22,18,35,0.6518451300665458,40,20,18,37,0.6693889897156685,38,19,20,38,0.6609195402298852,33,16,25,41,0.6441318814277073
wwwwmmmm_original-male,18,14,16,18,0.5459558823529411,26,14,8,18,0.6636029411764706,24,13,10,19,0.6498161764705883,23,14,11,18,0.6194852941176471,21,12,13,20,0.6213235294117647
wwwwmmmm_original-female,13,5,11,20,0.6708333333333334,14,8,10,17,0.6316666666666667,16,7,8,18,0.6933333333333334,15,5,9,20,0.7125,12,4,12,21,0.67
