submission,TP_1,FP_1,FN_1,TN_1,AUC_1,TP_2,FP_2,FN_2,TN_2,AUC_2,TP_3,FP_3,FN_3,TN_3,AUC_3,TP_4,FP_4,FN_4,TN_4,AUC_4,TP_5,FP_5,FN_5,TN_5,AUC_5
pearrr_original-overall,31,14,27,43,0.6444343617664852,35,9,23,48,0.7227767695099818,33,9,25,48,0.7055353901996371,36,10,22,47,0.7226255293405928,35,11,23,46,0.7052329098608592
pearrr_original-male,21,11,13,21,0.6369485294117647,23,7,11,25,0.7288602941176471,23,6,11,26,0.744485294117647,23,8,11,24,0.7132352941176471,23,8,11,24,0.7132352941176471
pearrr_original-female,10,3,14,22,0.6483333333333334,12,2,12,23,0.7100000000000001,10,3,14,22,0.6483333333333334,13,2,11,23,0.7308333333333332,12,3,12,22,0.6900000000000001
abethe_original-overall,29,14,29,43,0.6271929824561403,37,18,21,39,0.6610707803992741,31,15,27,42,0.6356624319419237,42,17,16,40,0.7129461584996974,31,18,27,39,0.6093466424682394
abethe_original-male,18,11,16,21,0.5928308823529411,26,14,8,18,0.6636029411764706,20,11,14,21,0.6222426470588236,26,14,8,18,0.6636029411764706,22,14,12,18,0.6047794117647058
abethe_original-female,11,3,13,22,0.6691666666666666,11,4,13,21,0.6491666666666666,11,4,13,21,0.6491666666666666,16,3,8,22,0.7733333333333333,9,4,15,21,0.6075
amicie_original-overall,29,17,29,40,0.6008771929824561,37,18,21,39,0.6610707803992741,37,12,21,45,0.7137023593466425,40,17,18,40,0.6957047791893527,38,12,20,45,0.7223230490018149
amicie_original-male,22,13,12,19,0.6204044117647058,24,14,10,18,0.6341911764705883,23,11,11,21,0.666360294117647,25,14,9,18,0.6488970588235294,22,11,12,21,0.6516544117647058
amicie_original-female,7,4,17,21,0.5658333333333333,13,4,11,21,0.6908333333333333,14,1,10,24,0.7716666666666667,15,3,9,22,0.7525,16,1,8,24,0.8133333333333332
ayoub_ghriss_original-overall,38,23,20,34,0.6258318209316395,41,20,17,37,0.6780096793708409,36,16,22,41,0.6699939503932244,38,19,20,38,0.6609195402298852,42,18,16,39,0.7041742286751361
ayoub_ghriss_original-male,23,18,11,14,0.5569852941176471,26,15,8,17,0.6479779411764706,23,11,11,21,0.666360294117647,24,16,10,16,0.6029411764705883,26,14,8,18,0.6636029411764706
ayoub_ghriss_original-female,15,5,9,20,0.7125,15,5,9,20,0.7125,13,5,11,20,0.6708333333333334,14,3,10,22,0.7316666666666668,16,4,8,21,0.7533333333333333
lbg_original-overall,39,17,19,40,0.6870840895341803,41,18,17,39,0.6955535390199636,38,18,20,39,0.6696914700544464,41,16,17,41,0.7130973986690865,36,20,22,37,0.6349062310949788
lbg_original-male,25,11,9,21,0.6957720588235294,25,13,9,19,0.6645220588235294,24,12,10,20,0.6654411764705883,25,11,9,21,0.6957720588235294,22,12,12,20,0.6360294117647058
lbg_original-female,14,6,10,19,0.6716666666666666,16,5,8,20,0.7333333333333333,14,6,10,19,0.6716666666666666,16,5,8,20,0.7333333333333333,14,8,10,17,0.6316666666666667
mk_original-overall,30,12,28,45,0.6533575317604355,34,23,24,34,0.5913490623109499,31,18,27,39,0.6093466424682394,36,13,22,44,0.6963097398669086,36,14,22,43,0.6875378100423472
mk_original-male,20,8,14,24,0.6691176470588236,20,17,14,15,0.5284926470588236,19,14,15,18,0.5606617647058824,22,10,12,22,0.6672794117647058,24,11,10,21,0.6810661764705883
mk_original-female,10,4,14,21,0.6283333333333333,14,6,10,19,0.6716666666666666,12,4,12,21,0.67,14,3,10,22,0.7316666666666668,12,3,12,22,0.6900000000000001
nguigui_original-overall,40,17,18,40,0.6957047791893527,38,14,20,43,0.7047791893526921,39,14,19,43,0.7133998790078646,40,18,18,39,0.6869328493647914,39,19,19,38,0.6695402298850577
nguigui_original-male,25,14,9,18,0.6488970588235294,24,11,10,21,0.6810661764705883,24,10,10,22,0.6966911764705883,24,15,10,17,0.6185661764705883,22,15,12,17,0.5891544117647058
nguigui_original-female,15,3,9,22,0.7525,14,3,10,22,0.7316666666666668,15,4,9,21,0.7325,16,3,8,22,0.7733333333333333,17,4,7,21,0.7741666666666667
Slasnista_original-overall,37,16,21,41,0.678614640048397,38,17,20,40,0.6784633998790077,37,15,21,42,0.6873865698729583,36,15,22,42,0.6787658802177858,37,16,21,41,0.678614640048397
Slasnista_original-male,22,12,12,20,0.6360294117647058,24,13,10,19,0.6498161764705883,24,10,10,22,0.6966911764705883,21,12,13,20,0.6213235294117647,24,12,10,20,0.6654411764705883
Slasnista_original-female,15,4,9,21,0.7325,14,4,10,21,0.7116666666666667,13,5,11,20,0.6708333333333334,15,3,9,22,0.7525,13,4,11,21,0.6908333333333333
vzantedeschi_original-overall,25,8,33,49,0.645341802782819,25,12,33,45,0.6102540834845734,27,11,31,46,0.6362673926194798,25,10,33,47,0.6277979431336962,28,15,30,42,0.6098003629764066
vzantedeschi_original-male,13,6,21,26,0.5974264705882353,16,11,18,21,0.5634191176470589,16,8,18,24,0.6102941176470589,13,9,21,23,0.5505514705882353,16,12,18,20,0.5477941176470589
vzantedeschi_original-female,12,2,12,23,0.7100000000000001,9,1,15,24,0.6674999999999999,11,3,13,22,0.6691666666666666,12,1,12,24,0.73,12,3,12,22,0.6900000000000001
wwwwmmmm_original-overall,44,21,14,36,0.6950998185117967,42,19,16,38,0.6954022988505748,41,17,17,40,0.704325468844525,38,19,20,38,0.6609195402298852,44,21,14,36,0.6950998185117967
wwwwmmmm_original-male,28,16,6,16,0.6617647058823529,27,14,7,18,0.6783088235294117,25,12,9,20,0.6801470588235294,22,16,12,16,0.5735294117647058,26,14,8,18,0.6636029411764706
wwwwmmmm_original-female,16,5,8,20,0.7333333333333333,15,5,9,20,0.7125,16,5,8,20,0.7333333333333333,16,3,8,22,0.7733333333333333,18,7,6,18,0.735
